3.7500,2/1/2025,11/2/2022,100.03,100.01,100.03,100.02,100.00,100.02,100.01,100.02,100.00,100.00
3.5000,8/1/2025,5/12/2023,100.26,100.25,100.24,100.25,100.19,100.17,100.15,100.19,100.25,100.26
4.5000,2/1/2026,11/1/2023,101.58,101.58,101.56,101.58,101.46,101.39,101.35,101.42,101.52,101.54
4.0000,8/3/2026,5/6/2024,101.54,101.57,101.53,101.55,101.46,101.32,101.20,101.20,101.38,101.43
3.0000,2/1/2027,11/1/2024,100.11,100.14,100.08,100.10,99.96,99.81,99.67,99.81,100.03,100.07
3.2450,8/24/2027,12/2/2022,101.02,101.04,100.94,101.02,100.72,100.41,100.46,100.67,100.73,101.00
3.5000,3/1/2028,10/21/2022,101.82,101.82,101.70,101.72,101.52,101.26,101.02,101.24,101.58,101.65
3.2500,9/1/2028,4/21/2023,101.10,101.14,100.99,100.94,100.79,100.49,100.19,100.42,100.92,101.02
4.0000,3/1/2029,10/13/2023,104.07,104.01,103.90,103.87,103.53,103.29,102.99,103.24,103.80,103.90
3.5000,9/1/2029,4/8/2024,102.22,102.14,102.04,101.98,101.59,101.28,101.00,103.01,103.01,103.01
2.2500,12/1/2029,3/29/2022,96.60,96.63,96.42,96.34,96.25,95.77,95.38,95.65,96.22,96.35
